Jurisdiccion; Departamento;Nombre Institucion;Estado_ETP;Gestion;Matricula_Total;Matricula_Varones;Matricula_Mujeres;ORIENTACION;TIPO INST
San Luis;Coronel Pringles;Centro Educativo Nº 22 Historiador Urbano Joaquín Núñez;Institución de ETP;Estatal;76;37;39;Agropecuaria;SEC TEC
San Luis;Belgrano;Centro Educativo Nº 7 Geólogo Román Guiñazú;Institución de ETP;Estatal;51;30;21;Industrial;SEC TEC
Buenos Aires;General Belgrano;Centro Educativo para la Producción Total (C.E.P.T.) Nº 01 Escuela de Alternancia;Institución de ETP;Estatal;67;36;31;Agropecuaria;SEC TEC
Buenos Aires;San Andrés de Giles;Centro Educativo para la Producción Total (C.E.P.T.) Nº 02 Escuela de Alternancia;Institución de ETP;Estatal;63;33;30;Agropecuaria;SEC TEC
Buenos Aires;Coronel Pringles;Centro Educativo para la Producción Total (C.E.P.T.) Nº 03 Paraje Don Alfredo;Institución de ETP;Estatal;57;30;27;Agropecuaria;SEC TEC
Buenos Aires;Mercedes;Centro Educativo para la Producción Total (C.E.P.T.) Nº 04 Mercedes;Institución de ETP;Estatal;50;27;23;Agropecuaria;SEC TEC
Buenos Aires;Rauch;Centro Educativo para la Producción Total (C.E.P.T.) Nº 05 ;Institución de ETP;Estatal;55;33;22;Agropecuaria;SEC TEC
Buenos Aires;Guaminí;Centro Educativo para la Producción Total (C.E.P.T.) Nº 06 ;Institución de ETP;Estatal;51;32;19;Agropecuaria;SEC TEC
Buenos Aires;Tres Lomas;Centro Educativo para la Producción Total (C.E.P.T.) Nº 07 C.E.P.T N °7;Institución de ETP;Estatal;100;60;40;Agropecuaria;SEC TEC
Buenos Aires;Olavarría;Centro Educativo para la Producción Total (C.E.P.T.) Nº 08 ;Institución de ETP;Estatal;79;38;41;Agropecuaria;SEC TEC
Buenos Aires;Carlos Tejedor;Centro Educativo para la Producción Total (C.E.P.T.) Nº 09 Colonia El Toro;Institución de ETP;Estatal;38;24;14;Agropecuaria;SEC TEC
Buenos Aires;Rojas;Centro Educativo para la Producción Total (C.E.P.T.) Nº 10 HUNTER;Institución de ETP;Estatal;67;26;41;Agropecuaria;SEC TEC
Buenos Aires;Trenque Lauquen;Centro Educativo para la Producción Total (C.E.P.T.) Nº 11 CENTRO EDUCATIVO PARA LA PRODUCCION TOTAL 11;Institución de ETP;Estatal;34;22;12;Agropecuaria;SEC TEC
Buenos Aires;Tornquist;Centro Educativo para la Producción Total (C.E.P.T.) Nº 12 Escuela de Alternancia;Institución de ETP;Estatal;41;20;21;Agropecuaria;SEC TEC
Buenos Aires;Carlos Casares;Centro Educativo para la Producción Total (C.E.P.T.) Nº 13 ;Institución de ETP;Estatal;35;24;11;Agropecuaria;SEC TEC
Buenos Aires;Pehuajó;Centro Educativo para la Producción Total (C.E.P.T.) Nº 14 Magdala;Institución de ETP;Estatal;40;21;19;Agropecuaria;SEC TEC
Buenos Aires;Nueve de Julio;Centro Educativo para la Producción Total (C.E.P.T.) Nº 15 ;Institución de ETP;Estatal;74;35;39;Agropecuaria;SEC TEC
Buenos Aires;Lobos;Centro Educativo para la Producción Total (C.E.P.T.) Nº 16 Paraje El Arazá Cuartel VII Escuela de Alternancia;Institución de ETP;Estatal;100;45;55;Agropecuaria;SEC TEC
Buenos Aires;Baradero;Centro Educativo para la Producción Total (C.E.P.T.) Nº 17 Ireneo Portela;Institución de ETP;Estatal;58;28;30;Agropecuaria;SEC TEC
